Probe	EnsemblID	symbol	name
ENSG00000228513.1	ENSG00000228513	AC023271.1	NA
ENSG00000228519.3	ENSG00000228519	RP11-298C3.2	NA
ENSG00000228521.2	ENSG00000228521	AC099552.3	NA
ENSG00000228522.2	ENSG00000228522	RP11-236F9.2	NA
ENSG00000228523.1	ENSG00000228523	RP11-131O15.2	NA
ENSG00000228525.1	ENSG00000228525	RP5-1087E8.2	NA
ENSG00000228526.2	ENSG00000228526	MIR34AHG	MIR34A host gene
ENSG00000228527.1	ENSG00000228527	RP11-179B15.5	NA
ENSG00000228528.1	ENSG00000228528	AC068057.1	NA
ENSG00000228532.4	ENSG00000228532	RP1-241P17.4	NA
ENSG00000228536.1	ENSG00000228536	RP11-392O17.1	NA
ENSG00000228540.1	ENSG00000228540	AC073326.3	NA
ENSG00000228541.1	ENSG00000228541	AC093159.1	NA
ENSG00000228544.1	ENSG00000228544	CCDC183-AS1	CCDC183 antisense RNA 1
ENSG00000228546.2	ENSG00000228546	CTA-313A17.3	NA
ENSG00000228547.5	ENSG00000228547	OR7E26P	olfactory receptor family 7 subfamily E member 26 pseudogene
ENSG00000228549.3	ENSG00000228549	RP11-108M9.3	NA
ENSG00000228550.1	ENSG00000228550	RP11-483M24.2	NA
ENSG00000228551.1	ENSG00000228551	SNRPGP9	small nuclear ribonucleoprotein polypeptide G pseudogene 9
ENSG00000228553.1	ENSG00000228553	RP11-391J2.3	NA
ENSG00000228554.1	ENSG00000228554	AC004837.5	NA
ENSG00000228557.1	ENSG00000228557	HSPA8P17	heat shock protein family A (Hsp70) member 8 pseudogene 17
ENSG00000228559.1	ENSG00000228559	RP3-340B19.3	NA
ENSG00000228561.2	ENSG00000228561	RP11-114M1.1	NA
ENSG00000228564.1	ENSG00000228564	LINC01005	long intergenic non-protein coding RNA 1005
ENSG00000228566.1	ENSG00000228566	RP11-170M17.1	NA
ENSG00000228568.1	ENSG00000228568	AC006461.2	NA
ENSG00000228569.1	ENSG00000228569	AC073133.2	NA
ENSG00000228570.6	ENSG00000228570	NUTM2E	NUT family member 2E
ENSG00000228573.1	ENSG00000228573	RP11-279N8.1	NA
ENSG00000228577.1	ENSG00000228577	AC010731.2	NA
ENSG00000228586.1	ENSG00000228586	AC005042.5	NA
ENSG00000228589.3	ENSG00000228589	SPCS2P4	signal peptidase complex subunit 2 homolog (S. cerevisiae) pseudogene 4
ENSG00000228590.1	ENSG00000228590	AC007381.3	NA
ENSG00000228594.3	ENSG00000228594	FNDC10	fibronectin type III domain containing 10
ENSG00000228595.1	ENSG00000228595	PAICSP2	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase pseudogene 2
ENSG00000228596.1	ENSG00000228596	AC013436.6	NA
ENSG00000228597.1	ENSG00000228597	MTND4P1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 1
ENSG00000228598.1	ENSG00000228598	MACC1-AS1	MACC1 antisense RNA 1
ENSG00000228599.1	ENSG00000228599	RPL7P52	ribosomal protein L7 pseudogene 52
ENSG00000228600.1	ENSG00000228600	POLR2CP	polymerase (RNA) II (DNA directed) polypeptide C, pseudogene
ENSG00000228606.1	ENSG00000228606	RP11-574F21.2	NA
ENSG00000228607.2	ENSG00000228607	CLDN25	claudin 25
ENSG00000228612.2	ENSG00000228612	HK2P1	hexokinase 2 pseudogene 1
ENSG00000228613.1	ENSG00000228613	AC144450.1	NA
ENSG00000228614.1	ENSG00000228614	RP13-476E20.1	NA
ENSG00000228620.1	ENSG00000228620	RP3-434P1.6	NA
ENSG00000228622.1	ENSG00000228622	RP1-302D9.1	NA
ENSG00000228623.3	ENSG00000228623	ZNF883	zinc finger protein 883
ENSG00000228624.6	ENSG00000228624	LOC101927768	uncharacterized LOC101927768
ENSG00000228625.1	ENSG00000228625	RP11-1B20.1	NA
ENSG00000228626.1	ENSG00000228626	RP11-495P10.9	NA
ENSG00000228629.2	ENSG00000228629	AC092295.4	NA
ENSG00000228630.4	ENSG00000228630	HOTAIR	HOX transcript antisense RNA
ENSG00000228634.1	ENSG00000228634	RP4-534N18.2	NA
ENSG00000228638.1	ENSG00000228638	FCF1P2	FCF1 pseudogene 2
ENSG00000228639.5	ENSG00000228639	LOC102723505	uncharacterized LOC102723505
ENSG00000228643.1	ENSG00000228643	AC079779.4	NA
ENSG00000228646.3	ENSG00000228646	RPL31P13	ribosomal protein L31 pseudogene 13
ENSG00000228648.1	ENSG00000228648	RP11-568A7.2	NA
ENSG00000228649.7	ENSG00000228649	AC005682.5	NA
ENSG00000228650.2	ENSG00000228650	AC008940.1	NA
ENSG00000228651.1	ENSG00000228651	RP11-556E13.1	NA
ENSG00000228653.2	ENSG00000228653	HNRNPCP7	heterogeneous nuclear ribonucleoprotein C pseudogene 7
ENSG00000228655.5	ENSG00000228655	AC096558.1	NA
ENSG00000228656.1	ENSG00000228656	MYO5BP3	myosin VB pseudogene 3
ENSG00000228657.1	ENSG00000228657	RPL23AP58	ribosomal protein L23a pseudogene 58
ENSG00000228658.1	ENSG00000228658	RP11-791O21.5	NA
ENSG00000228660.1	ENSG00000228660	VN1R35P	vomeronasal 1 receptor 35 pseudogene
ENSG00000228661.1	ENSG00000228661	AC090587.5	NA
ENSG00000228663.1	ENSG00000228663	PSMD10P1	proteasome 26S subunit, non-ATPase, 10 pseudogene 1
ENSG00000228664.1	ENSG00000228664	RP11-416K24.1	NA
ENSG00000228665.2	ENSG00000228665	RP11-20O24.1	NA
ENSG00000228666.1	ENSG00000228666	KRT18P1	keratin 18 pseudogene 1
ENSG00000228668.1	ENSG00000228668	TRGV5P	T cell receptor gamma variable 5P (pseudogene)
ENSG00000228672.3	ENSG00000228672	PROB1	proline rich basic protein 1
ENSG00000228674.4	ENSG00000228674	CTB-147C22.3	NA
ENSG00000228677.1	ENSG00000228677	TTC3-AS1	TTC3 antisense RNA 1
ENSG00000228679.1	ENSG00000228679	RP4-676J13.2	NA
ENSG00000228680.1	ENSG00000228680	AC004692.4	NA
ENSG00000228681.1	ENSG00000228681	AC008072.1	NA
ENSG00000228683.1	ENSG00000228683	RP11-31E13.2	NA
ENSG00000228686.2	ENSG00000228686	RP11-492I21.1	NA
ENSG00000228692.2	ENSG00000228692	RP5-826L7.1	NA
ENSG00000228694.1	ENSG00000228694	MTND4P18	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4 pseudogene 18
ENSG00000228695.8	ENSG00000228695	CES1P1	carboxylesterase 1 pseudogene 1
ENSG00000228696.7	ENSG00000228696	LOC100996709	ADP-ribosylation factor-like protein 17
ENSG00000228697.1	ENSG00000228697	RP5-968D22.1	NA
ENSG00000228700.1	ENSG00000228700	RP11-155G14.1	NA
ENSG00000228701.1	ENSG00000228701	TNKS2-AS1	TNKS2 antisense RNA 1 (head to head)
ENSG00000228702.1	ENSG00000228702	RP11-671E7.1	NA
ENSG00000228703.1	ENSG00000228703	RP5-1160K1.6	NA
ENSG00000228704.1	ENSG00000228704	RP11-138M12.1	NA
ENSG00000228705.1	ENSG00000228705	LINC00659	long intergenic non-protein coding RNA 659
ENSG00000228709.1	ENSG00000228709	AP001065.15	NA
ENSG00000228714.2	ENSG00000228714	LOC101928775	uncharacterized LOC101928775
ENSG00000228716.5	ENSG00000228716	DHFR	dihydrofolate reductase
ENSG00000228718.1	ENSG00000228718	RP11-145H9.3	NA
ENSG00000228719.1	ENSG00000228719	RP5-1119A7.14	NA
ENSG00000228721.1	ENSG00000228721	AC016909.2	NA
ENSG00000228723.5	ENSG00000228723	LOC101927416	uncharacterized LOC101927416
ENSG00000228725.3	ENSG00000228725	MTND2P12	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2 pseudogene 12
ENSG00000228727.7	ENSG00000228727	SAPCD1	suppressor APC domain containing 1
ENSG00000228728.1	ENSG00000228728	RP11-316K19.3	NA
ENSG00000228729.1	ENSG00000228729	RP11-211A18.2	NA
ENSG00000228730.1	ENSG00000228730	RP11-95L3.2	NA
ENSG00000228734.2	ENSG00000228734	RP11-335E6.3	NA
ENSG00000228735.1	ENSG00000228735	GS1-18A18.2	NA
ENSG00000228737.2	ENSG00000228737	AC008781.7	NA
ENSG00000228741.2	ENSG00000228741	SPATA13	spermatogenesis associated 13
ENSG00000228742.8	ENSG00000228742	RP5-884M6.1	NA
ENSG00000228744.1	ENSG00000228744	RPS3AP30	ribosomal protein S3a pseudogene 30
ENSG00000228748.2	ENSG00000228748	RP13-39P12.3	NA
ENSG00000228750.4	ENSG00000228750	RP11-242F24.1	NA
ENSG00000228751.1	ENSG00000228751	AC004022.8	NA
ENSG00000228753.1	ENSG00000228753	EIF4BP2	eukaryotic translation initiation factor 4B pseudogene 2
ENSG00000228754.1	ENSG00000228754	RP11-534L6.3	NA
ENSG00000228755.1	ENSG00000228755	PABPC1P8	poly(A) binding protein, cytoplasmic 1 pseudogene 8
ENSG00000228759.1	ENSG00000228759	FAF2P1	Fas associated factor family member 2 pseudogene 1
ENSG00000228763.1	ENSG00000228763	LIMS1-AS1	LIMS1 antisense RNA 1
ENSG00000228766.3	ENSG00000228766	RPL7L1P8	ribosomal protein L7 like 1 pseudogene 8
ENSG00000228767.1	ENSG00000228767	KRT8P18	keratin 8 pseudogene 18
ENSG00000228768.1	ENSG00000228768	AC003101.1	NA
ENSG00000228769.1	ENSG00000228769	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2
ENSG00000228770.1	ENSG00000228770	AC007327.6	NA
ENSG00000228772.2	ENSG00000228772	RP1-309H15.2	NA
ENSG00000228775.6	ENSG00000228775	WEE2-AS1	WEE2 antisense RNA 1
ENSG00000228778.1	ENSG00000228778	RP11-129J12.1	NA
ENSG00000228779.1	ENSG00000228779	Z69666.2	NA
ENSG00000228780.2	ENSG00000228780	RP1-50A13.1	NA
ENSG00000228781.1	ENSG00000228781	RP11-336N8.3	NA
ENSG00000228782.6	ENSG00000228782	CTD-2026D20.3	NA
ENSG00000228783.1	ENSG00000228783	RP11-147I11.1	NA
ENSG00000228784.6	ENSG00000228784	LINC00954	long intergenic non-protein coding RNA 954
ENSG00000228789.5	ENSG00000228789	HCG22	HLA complex group 22
ENSG00000228790.1	ENSG00000228790	AC098784.1	NA
ENSG00000228791.6	ENSG00000228791	THRB-AS1	THRB antisense RNA 1
ENSG00000228792.2	ENSG00000228792	RP11-354K1.2	NA
ENSG00000228793.1	ENSG00000228793	RP1-223B1.1	NA
ENSG00000228794.7	ENSG00000228794	LINC01128	long intergenic non-protein coding RNA 1128
ENSG00000228797.2	ENSG00000228797	FAM207BP	family with sequence similarity 207 member B, pseudogene
ENSG00000228798.1	ENSG00000228798	AP000473.5	NA
ENSG00000228799.4	ENSG00000228799	LOC101060385	uncharacterized LOC101060385
ENSG00000228800.1	ENSG00000228800	RP11-253D19.1	NA
ENSG00000228801.5	ENSG00000228801	RP11-110G21.1	NA
ENSG00000228802.1	ENSG00000228802	AC073641.2	NA
ENSG00000228803.1	ENSG00000228803	AC073072.6	NA
ENSG00000228804.4	ENSG00000228804	LOC100131635	hCG1645011-like
ENSG00000228807.1	ENSG00000228807	MRPS18CP6	mitochondrial ribosomal protein S18C pseudogene 6
ENSG00000228808.1	ENSG00000228808	HMGB3P4	high mobility group box 3 pseudogene 4
ENSG00000228809.2	ENSG00000228809	RP4-705D16.3	NA
ENSG00000228812.6	ENSG00000228812	LAMA5-AS1	LAMA5 antisense RNA 1
ENSG00000228814.4	ENSG00000228814	RP11-119H12.5	NA
ENSG00000228815.1	ENSG00000228815	MARK2P13	MAP/microtubule affinity-regulating kinase 2 pseudogene 13
ENSG00000228816.1	ENSG00000228816	AK3P5	adenylate kinase 3 pseudogene 5
ENSG00000228817.4	ENSG00000228817	BACH1-IT2	BACH1 intronic transcript 2
ENSG00000228818.1	ENSG00000228818	RP11-567G24.1	NA
ENSG00000228819.1	ENSG00000228819	RP1-305B16.3	NA
ENSG00000228820.2	ENSG00000228820	RPSAP1	ribosomal protein SA pseudogene 1
ENSG00000228824.5	ENSG00000228824	MIR4500HG	MIR4500 host gene
ENSG00000228826.2	ENSG00000228826	RP11-344P13.4	NA
ENSG00000228828.1	ENSG00000228828	RP11-162G10.1	NA
ENSG00000228829.1	ENSG00000228829	AC005077.5	NA
ENSG00000228830.1	ENSG00000228830	RP4-781K5.2	NA
ENSG00000228833.1	ENSG00000228833	RP5-1014O16.9	NA
ENSG00000228834.1	ENSG00000228834	RP11-249L21.4	NA
ENSG00000228835.1	ENSG00000228835	AC012123.1	NA
ENSG00000228838.1	ENSG00000228838	RP4-784A16.2	NA
ENSG00000228839.4	ENSG00000228839	PIK3IP1-AS1	PIK3IP1 antisense RNA 1 (head to head)
ENSG00000228842.3	ENSG00000228842	PCDH9-AS2	PCDH9 antisense RNA 2
ENSG00000228843.2	ENSG00000228843	RP11-112J3.15	NA
ENSG00000228844.1	ENSG00000228844	RP11-467I20.3	NA
ENSG00000228847.1	ENSG00000228847	ATP5G2P4	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C2 (subunit 9) pseudogene 4
ENSG00000228848.3	ENSG00000228848	AC105402.2	NA
ENSG00000228850.1	ENSG00000228850	CDY12P	chromodomain protein, Y-linked 12 pseudogene
ENSG00000228852.5	ENSG00000228852	RP11-57H12.5	NA
ENSG00000228857.2	ENSG00000228857	AC104653.1	NA
ENSG00000228861.5	ENSG00000228861	RPL23AP12	ribosomal protein L23a pseudogene 12
ENSG00000228862.3	ENSG00000228862	RP11-91I20.3	NA
ENSG00000228863.7	ENSG00000228863	RP11-404F10.2	NA
ENSG00000228868.3	ENSG00000228868	MYLKP1	myosin light chain kinase pseudogene 1 (functional)
ENSG00000228869.1	ENSG00000228869	COX4I1P2	cytochrome c oxidase subunit IV isoform 1 pseudogene 2
ENSG00000228873.1	ENSG00000228873	AC012307.2	NA
ENSG00000228874.1	ENSG00000228874	AC090954.5	NA
ENSG00000228877.2	ENSG00000228877	RP11-473E2.4	NA
ENSG00000228878.6	ENSG00000228878	SEPT7-AS1	SEPT7 antisense RNA 1 (head to head)
ENSG00000228879.1	ENSG00000228879	RP11-439E19.6	NA
ENSG00000228882.1	ENSG00000228882	CICP9	capicua transcriptional repressor pseudogene 9
ENSG00000228884.2	ENSG00000228884	RPL23AP26	ribosomal protein L23a pseudogene 26
ENSG00000228886.1	ENSG00000228886	RP11-290D2.3	NA
ENSG00000228887.3	ENSG00000228887	EEF1DP1	eukaryotic translation elongation factor 1 delta pseudogene 1
ENSG00000228889.5	ENSG00000228889	UBAC2-AS1	UBAC2 antisense RNA 1
ENSG00000228897.1	ENSG00000228897	CTD-2021A8.2	NA
ENSG00000228901.3	ENSG00000228901	HMGN2P36	high mobility group nucleosomal binding domain 2 pseudogene 36
ENSG00000228902.1	ENSG00000228902	ST6GALNAC2P1	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 pseudogene 1
ENSG00000228903.5	ENSG00000228903	RASA4CP	RAS p21 protein activator 4C, pseudogene
ENSG00000228906.1	ENSG00000228906	RP13-216E22.4	NA
ENSG00000228914.1	ENSG00000228914	OR1H1P	olfactory receptor family 1 subfamily H member 1 pseudogene
ENSG00000228915.3	ENSG00000228915	OR7E128P	olfactory receptor family 7 subfamily E member 128 pseudogene
ENSG00000228917.1	ENSG00000228917	RP11-544M22.8	NA
ENSG00000228918.3	ENSG00000228918	LINC01344	long intergenic non-protein coding RNA 1344
ENSG00000228919.5	ENSG00000228919	AC097381.1	NA
ENSG00000228922.1	ENSG00000228922	RP13-210D15.1	NA
ENSG00000228923.1	ENSG00000228923	AP000355.2	NA
ENSG00000228925.1	ENSG00000228925	AC016722.4	NA
ENSG00000228928.1	ENSG00000228928	AC002069.5	NA
ENSG00000228929.1	ENSG00000228929	RPS13P2	ribosomal protein S13 pseudogene 2
ENSG00000228930.1	ENSG00000228930	MTCO1P3	MT-CO1 pseudogene 3
ENSG00000228933.6	ENSG00000228933	RP11-268G12.1	NA
ENSG00000228935.1	ENSG00000228935	RP11-189G24.2	NA
ENSG00000228937.1	ENSG00000228937	AC005539.2	NA
ENSG00000228938.3	ENSG00000228938	SNRPD2P1	small nuclear ribonucleoprotein D2 pseudogene 1
ENSG00000228939.1	ENSG00000228939	AKT3-IT1	AKT3 intronic transcript 1
ENSG00000228940.1	ENSG00000228940	RP11-348A7.1	NA
ENSG00000228941.1	ENSG00000228941	UBE3AP2	ubiquitin protein ligase E3A pseudogene 2
ENSG00000228944.1	ENSG00000228944	AC004485.3	NA
ENSG00000228948.2	ENSG00000228948	SLC25A6P5	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6 pseudogene 5
ENSG00000228950.1	ENSG00000228950	AC023137.2	NA
ENSG00000228951.1	ENSG00000228951	RP11-336A10.4	NA
ENSG00000228952.1	ENSG00000228952	RP11-567G11.1	NA
ENSG00000228953.1	ENSG00000228953	AC006026.12	NA
ENSG00000228955.2	ENSG00000228955	RP11-452J6.2	NA
ENSG00000228956.7	ENSG00000228956	SATB1-AS1	SATB1 antisense RNA 1
ENSG00000228957.1	ENSG00000228957	RP11-23J9.3	NA
ENSG00000228959.1	ENSG00000228959	RP5-1121H13.3	NA
ENSG00000228960.5	ENSG00000228960	OR2A20P	olfactory receptor family 2 subfamily A member 20 pseudogene
ENSG00000228961.1	ENSG00000228961	LOC102724502	uncharacterized LOC102724502
ENSG00000228962.1	ENSG00000228962	HCG23	HLA complex group 23 (non-protein coding)
ENSG00000228963.3	ENSG00000228963	OR7E93P	olfactory receptor family 7 subfamily E member 93 pseudogene
ENSG00000228965.1	ENSG00000228965	RPSAP60	ribosomal protein SA pseudogene 60
ENSG00000228966.2	ENSG00000228966	HOMER2P1	homer scaffolding protein 2 pseudogene 1
ENSG00000228968.1	ENSG00000228968	AC096554.1	NA
ENSG00000228970.6	ENSG00000228970	UBTFL6	upstream binding transcription factor, RNA polymerase I-like 6 (pseudogene)
ENSG00000228971.2	ENSG00000228971	RP11-286B14.1	NA
ENSG00000228973.1	ENSG00000228973	AC009955.8	NA
ENSG00000228974.5	ENSG00000228974	AC006483.5	NA
ENSG00000228976.1	ENSG00000228976	SUMO2P8	SUMO2 pseudogene 8
ENSG00000228979.4	ENSG00000228979	CTD-2501B8.5	NA
ENSG00000228981.3	ENSG00000228981	RP11-364L4.1	NA
ENSG00000228983.7	ENSG00000228983	SLC47A1P1	solute carrier family 47 (multidrug and toxin extrusion), member 1 pseudogene 1
ENSG00000228986.1	ENSG00000228986	RP13-228J13.8	NA
ENSG00000228988.1	ENSG00000228988	RP4-677H15.4	NA
ENSG00000228989.1	ENSG00000228989	AC133528.2	NA
ENSG00000228992.2	ENSG00000228992	RPL5P32	ribosomal protein L5 pseudogene 32
ENSG00000228995.1	ENSG00000228995	MTND1P9	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 9
ENSG00000228997.1	ENSG00000228997	RP1-186E20.1	NA
ENSG00000228998.4	ENSG00000228998	RP11-697E2.7	NA
ENSG00000228999.1	ENSG00000228999	AC068490.1	NA
ENSG00000229000.1	ENSG00000229000	SEPT7P8	septin 7 pseudogene 8
ENSG00000229001.1	ENSG00000229001	ACTBP14	actin, beta pseudogene 14
ENSG00000229002.1	ENSG00000229002	RP11-666A1.4	NA
ENSG00000229005.2	ENSG00000229005	HNF4A-AS1	HNF4A antisense RNA 1
ENSG00000229007.1	ENSG00000229007	EXOSC3P1	exosome component 3 pseudogene 1
ENSG00000229009.6	ENSG00000229009	TMPRSS11GP	transmembrane protease, serine 11G, pseudogene
ENSG00000229010.1	ENSG00000229010	RP5-979D14.1	NA
ENSG00000229011.1	ENSG00000229011	LINC01038	long intergenic non-protein coding RNA 1038
ENSG00000229014.3	ENSG00000229014	RPL30P13	ribosomal protein L30 pseudogene 13
ENSG00000229015.1	ENSG00000229015	LOC100506790	uncharacterized LOC100506790
ENSG00000229016.1	ENSG00000229016	RP11-224O19.4	NA
ENSG00000229017.5	ENSG00000229017	LINC01277	long intergenic non-protein coding RNA 1277
ENSG00000229018.5	ENSG00000229018	PMS2P7	PMS1 homolog 2, mismatch repair system component pseudogene 7
ENSG00000229019.1	ENSG00000229019	RP11-88I18.3	NA
ENSG00000229020.4	ENSG00000229020	AKR7A2P1	aldo-keto reductase family 7, member A2 pseudogene 1
ENSG00000229021.2	ENSG00000229021	AL591893.1	NA
ENSG00000229022.1	ENSG00000229022	RP11-553N16.1	NA
ENSG00000229023.1	ENSG00000229023	AC067945.3	NA
ENSG00000229025.1	ENSG00000229025	AP001595.1	NA
ENSG00000229028.2	ENSG00000229028	KRT223P	keratin 223 pseudogene
ENSG00000229029.2	ENSG00000229029	CDCA4P1	cell division cycle associated 4 pseudogene 1
ENSG00000229031.1	ENSG00000229031	MTCO1P25	MT-CO1 pseudogene 25
ENSG00000229032.1	ENSG00000229032	RP11-91A18.1	NA
ENSG00000229036.6	ENSG00000229036	VDAC1P8	voltage-dependent anion channel 1 pseudogene 8
ENSG00000229037.2	ENSG00000229037	RP11-272G22.3	NA
ENSG00000229042.2	ENSG00000229042	LOC101927159	uncharacterized LOC101927159
ENSG00000229043.2	ENSG00000229043	AC091729.9	NA
ENSG00000229044.1	ENSG00000229044	RP11-266K22.2	NA
ENSG00000229046.1	ENSG00000229046	HMGN1P2	high mobility group nucleosome binding domain 1 pseudogene 2
ENSG00000229047.1	ENSG00000229047	AF127577.10	NA
ENSG00000229048.5	ENSG00000229048	DUTP1	deoxyuridine triphosphatase pseudogene 1
ENSG00000229051.1	ENSG00000229051	LOC101927244	uncharacterized LOC101927244
ENSG00000229052.2	ENSG00000229052	RP11-386I23.1	NA
ENSG00000229054.1	ENSG00000229054	AC074338.4	NA
ENSG00000229056.2	ENSG00000229056	LOC101927482	uncharacterized LOC101927482
ENSG00000229057.1	ENSG00000229057	RPS3AP54	ribosomal protein S3a pseudogene 54
ENSG00000229060.4	ENSG00000229060	RP11-20P5.2	NA
ENSG00000229064.1	ENSG00000229064	RP11-746P2.5	NA
ENSG00000229065.1	ENSG00000229065	RP11-80I15.4	NA
ENSG00000229067.1	ENSG00000229067	RP11-91I11.1	NA
ENSG00000229068.1	ENSG00000229068	TMPOP1	thymopoietin pseudogene 1
ENSG00000229072.1	ENSG00000229072	HMGN2P24	high mobility group nucleosomal binding domain 2 pseudogene 24
ENSG00000229081.1	ENSG00000229081	LINC01165	long intergenic non-protein coding RNA 1165
ENSG00000229083.1	ENSG00000229083	PSMA6P2	proteasome (prosome, macropain) subunit, alpha type, 6 pseudogene 2
ENSG00000229086.3	ENSG00000229086	LINC01548	long intergenic non-protein coding RNA 1548
ENSG00000229088.1	ENSG00000229088	MTND1P10	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1 pseudogene 10
ENSG00000229089.5	ENSG00000229089	ANKRD20A8P	ankyrin repeat domain 20 family member A8, pseudogene
ENSG00000229091.2	ENSG00000229091	HSPA8P8	heat shock protein family A (Hsp70) member 8 pseudogene 8
ENSG00000229092.2	ENSG00000229092	IGHV3-47	immunoglobulin heavy variable 3-47 (pseudogene)
ENSG00000229097.1	ENSG00000229097	CALM2P2	calmodulin 2 pseudogene 2
ENSG00000229101.1	ENSG00000229101	TCEB1P20	transcription elongation factor B (SIII), polypeptide 1 pseudogene 20
ENSG00000229102.1	ENSG00000229102	LOC101928739	uncharacterized LOC101928739
ENSG00000229105.1	ENSG00000229105	ASTN2-AS1	ASTN2 antisense RNA 1
ENSG00000229106.1	ENSG00000229106	BTBD6P1	BTB (POZ) domain containing 6 pseudogene 1
ENSG00000229107.2	ENSG00000229107	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4
ENSG00000229108.1	ENSG00000229108	MEOX2-AS1	MEOX2 antisense RNA 1 (head to head)
ENSG00000229109.1	ENSG00000229109	RP11-439K3.1	NA
ENSG00000229110.1	ENSG00000229110	AC006355.3	NA
ENSG00000229111.1	ENSG00000229111	MED4-AS1	MED4 antisense RNA 1
ENSG00000229112.1	ENSG00000229112	RP11-690C23.3	NA
ENSG00000229116.2	ENSG00000229116	RP11-20J15.3	NA
ENSG00000229117.7	ENSG00000229117	RPL41	ribosomal protein L41
ENSG00000229118.1	ENSG00000229118	AC068491.2	NA
ENSG00000229119.3	ENSG00000229119	CTB-63M22.1	NA
ENSG00000229120.2	ENSG00000229120	CYCSP4	cytochrome c, somatic pseudogene 4
ENSG00000229122.1	ENSG00000229122	AGBL5-IT1	AGBL5 intronic transcript 1
ENSG00000229124.5	ENSG00000229124	VIM-AS1	VIM antisense RNA 1
ENSG00000229127.1	ENSG00000229127	AC007038.7	NA
ENSG00000229129.1	ENSG00000229129	ACTG1P2	actin gamma 1 pseudogene 2
ENSG00000229132.2	ENSG00000229132	EIF4A1P10	eukaryotic translation initiation factor 4A1 pseudogene 10
ENSG00000229133.1	ENSG00000229133	RPS7P4	ribosomal protein S7 pseudogene 4
ENSG00000229140.7	ENSG00000229140	CCDC26	CCDC26 long non-coding RNA
ENSG00000229142.1	ENSG00000229142	HCG4P8	HLA complex group 4 pseudogene 8
ENSG00000229143.1	ENSG00000229143	AC009480.4	NA
ENSG00000229145.1	ENSG00000229145	ACTBP1	actin, beta pseudogene 1
ENSG00000229150.1	ENSG00000229150	CRYGEP	crystallin gamma E, pseudogene
ENSG00000229151.1	ENSG00000229151	RP11-348F1.3	NA
ENSG00000229152.2	ENSG00000229152	ANKRD10-IT1	ANKRD10 intronic transcript 1
ENSG00000229153.4	ENSG00000229153	EPHA1-AS1	EPHA1 antisense RNA 1
ENSG00000229154.1	ENSG00000229154	KCNQ5-AS1	KCNQ5 antisense RNA 1
ENSG00000229155.1	ENSG00000229155	RP11-528A4.2	NA
ENSG00000229156.1	ENSG00000229156	RP11-250H24.2	NA
ENSG00000229159.1	ENSG00000229159	TSPY23P	testis specific protein, Y-linked 23, pseudogene
ENSG00000229160.1	ENSG00000229160	AC009229.6	NA
ENSG00000229161.2	ENSG00000229161	TCP1P1	t-complex 1 pseudogene 1
ENSG00000229162.1	ENSG00000229162	RP11-84D1.1	NA
ENSG00000229163.2	ENSG00000229163	NAP1L1P2	nucleosome assembly protein 1-like 1 pseudogene 2
ENSG00000229165.1	ENSG00000229165	GDI2P1	GDP dissociation inhibitor 2 pseudogene 1
ENSG00000229167.1	ENSG00000229167	RP11-73M7.1	NA
ENSG00000229168.4	ENSG00000229168	RPL19P20	ribosomal protein L19 pseudogene 20
ENSG00000229172.1	ENSG00000229172	AC073065.3	NA
ENSG00000229173.1	ENSG00000229173	AC108059.4	NA
ENSG00000229177.1	ENSG00000229177	AC008154.5	NA
ENSG00000229178.1	ENSG00000229178	AC069513.4	NA
ENSG00000229180.5	ENSG00000229180	GS1-124K5.11	NA
ENSG00000229183.7	ENSG00000229183	PGA4	pepsinogen 4, group I (pepsinogen A)
ENSG00000229184.2	ENSG00000229184	ATP5HP2	ATP synthase, H+ transporting, mitochondrial Fo complex subunit D pseudogene 2
ENSG00000229190.1	ENSG00000229190	RP11-390B4.3	NA
ENSG00000229191.1	ENSG00000229191	RP11-168O16.1	NA
ENSG00000229192.5	ENSG00000229192	AC004870.3	NA
ENSG00000229195.1	ENSG00000229195	AC009495.4	NA
ENSG00000229196.3	ENSG00000229196	RP11-775D22.2	NA
ENSG00000229197.1	ENSG00000229197	RP11-227H15.7	NA
ENSG00000229201.1	ENSG00000229201	RP5-827O9.1	NA
ENSG00000229203.1	ENSG00000229203	AC103564.7	NA
ENSG00000229204.3	ENSG00000229204	PTGES3P3	prostaglandin E synthase 3 (cytosolic) pseudogene 3
ENSG00000229205.2	ENSG00000229205	LINC00200	long intergenic non-protein coding RNA 200
ENSG00000229206.3	ENSG00000229206	RP11-397O4.1	NA
